GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
address,com.address.api.util,MessagesUtil,0,29,0,0,0,7,0,4,0,4
address,com.address.api.util,ObjectMapperUtil,9,45,0,0,2,12,0,4,0,4
address,com.address.api.util,StringUtils,0,5,0,0,0,1,0,1,0,1
address,com.address.api.util,RepositoryUtils,30,38,5,5,3,11,4,4,0,3
address,com.address.api.repository.address,AddressRepositoryImpl,52,124,4,10,4,22,4,6,0,3
address,com.address.api.configuration,MessageSourceConfiguration,0,25,0,0,0,8,0,3,0,3
address,com.address.api.configuration,CustomLocaleResolver,0,27,0,0,0,9,0,4,0,4
address,com.address.api.configuration,SwaggerConfiguration,0,40,0,0,0,9,0,3,0,3
address,com.address.api.configuration,RestTemplateConfiguration,0,32,0,0,0,7,0,3,0,3
address,com.address.api.service,AddressService,2,56,1,1,1,8,1,5,0,5
address,com.address.api.exception,MessageErrorImpl,0,87,0,0,0,11,0,3,0,3
address,com.address.api.exception,JsonConvertException,0,7,0,0,0,2,0,1,0,1
address,com.address.api.exceptionhandler,RestExceptionHandler,16,75,0,2,2,16,2,7,2,6
address,com.address.api.exceptionhandler,ApiError,8,47,0,0,2,15,1,7,1,7
address,com.address.api.exceptionhandler,RestTemplateResponseErrorHandler,54,7,6,0,9,2,5,1,2,1
address,com.address.api.exceptionhandler,AbstractRuntimeException,43,0,0,0,13,0,5,0,5,0
address,com.address.api,AddressApiApplication,5,3,0,0,2,1,1,1,1,1
address,com.address.api.dto,AddressDTO,15,31,0,0,6,13,1,9,1,9
address,com.address.api.model,AddressEntity,32,38,6,0,5,16,5,11,2,11
address,com.address.api.mapper,AddressMapperImpl,0,55,0,4,0,17,0,5,0,3
address,com.address.api.mapper,AddressMapper,0,3,0,0,0,1,0,1,0,1
address,com.address.api.controller,AddressController,0,22,0,0,0,6,0,4,0,4
address,com.address.api.model.filter,AddressFilter,12,26,0,0,6,10,3,8,3,8
